# <seq_name> <frame.png> <n_obj> <angmin> <angmax>
# {"root": "E:/data_collect", "max_dist": 36.0, "mode": "all", "metric": "angsize", "min_z": 0.5, "max_objects": 0, "train_ratio": 0.8, "seed": 0, "min_ang": 0.0724, "max_ang": 0.2005}
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 61.3771.png 2 0.14 0.14
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 61.4438.png 2 0.12 0.14
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 61.5105.png 2 0.11 0.14
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 61.5772.png 2 0.11 0.14
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 61.6439.png 2 0.10 0.15
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 61.7106.png 2 0.09 0.15
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 61.7773.png 2 0.09 0.15
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 61.8440.png 2 0.08 0.16
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 61.9107.png 2 0.08 0.16
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 61.9774.png 2 0.08 0.17
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.0441.png 2 0.08 0.17
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.1108.png 2 0.08 0.18
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.1775.png 2 0.08 0.18
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.2442.png 2 0.08 0.18
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.3109.png 2 0.09 0.18
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.3776.png 2 0.09 0.18
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.4443.png 2 0.09 0.17
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.5110.png 2 0.09 0.17
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.5777.png 2 0.10 0.17
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.6444.png 2 0.10 0.16
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.7111.png 2 0.11 0.16
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.7778.png 2 0.12 0.16
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.8445.png 2 0.12 0.15
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.9112.png 2 0.13 0.15
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.9779.png 2 0.13 0.14
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 63.0446.png 2 0.14 0.14
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 63.1113.png 2 0.14 0.15
