# <seq_name> <frame.png> <n_obj> <angmin> <angmax>
# {"root": "E:/data_collect", "max_dist": 36.0, "mode": "all", "metric": "angsize", "min_z": 0.5, "max_objects": 1, "train_ratio": 0.8, "seed": 0, "min_ang": 0.0724, "max_ang": 0.2005}
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 10.3463.png 1 0.07 0.07
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 10.4130.png 1 0.07 0.07
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 10.8799.png 1 0.07 0.07
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 10.9466.png 1 0.07 0.07
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.0133.png 1 0.07 0.07
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.0800.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.1467.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.2134.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.2801.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.3468.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.4135.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.4802.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.5469.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.6136.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.6803.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.7470.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.8137.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.8804.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 11.9471.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.0138.png 1 0.09 0.09
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.0805.png 1 0.09 0.09
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.1472.png 1 0.09 0.09
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.2139.png 1 0.09 0.09
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.2806.png 1 0.09 0.09
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.3473.png 1 0.09 0.09
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.4140.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.4807.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.5474.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.6141.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.6808.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.7475.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.8142.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.8809.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 12.9476.png 1 0.07 0.07
Town01_Opt/carla_data/00001/clear_day/Matrice-600-Pro 13.0143.png 1 0.07 0.07
Town01_Opt/carla_data/00001/clear_night/DJI-avata2 60.2135.png 1 0.08 0.08
Town01_Opt/carla_data/00001/clear_night/DJI-avata2 60.2802.png 1 0.12 0.12
Town01_Opt/carla_data/00001/clear_night/DJI-avata2 60.3469.png 1 0.19 0.19
Town01_Opt/carla_data/00001/clear_night/DJI-avata2 61.5475.png 1 0.15 0.15
Town01_Opt/carla_data/00001/clear_night/DJI-avata2 61.6142.png 1 0.11 0.11
Town01_Opt/carla_data/00001/clear_night/DJI-avata2 61.6809.png 1 0.09 0.09
Town01_Opt/carla_data/00001/clear_night/DJI-avata2 61.7476.png 1 0.07 0.07
