# <seq_name> <frame.png> <n_obj> <zmin> <zmax>
# {"root": "D:/data_collect", "max_dist": 8.0, "mode": "all", "metric": "z", "min_z": 0.5, "max_objects": 0, "train_ratio": 0.8, "seed": 0}
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.0000.png 1 2.01 2.01
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.0667.png 1 2.04 2.04
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.1333.png 1 2.07 2.07
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.2000.png 1 2.10 2.10
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.2667.png 1 2.13 2.13
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.3333.png 1 2.15 2.15
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.4000.png 1 2.18 2.18
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.4667.png 1 2.21 2.21
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.5333.png 1 2.23 2.23
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.6000.png 1 2.26 2.26
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.6667.png 1 2.28 2.28
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.7333.png 1 2.31 2.31
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.8000.png 1 2.34 2.34
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.8667.png 1 2.36 2.36
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 0.9333.png 1 2.39 2.39
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 1.0000.png 1 2.41 2.41
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 1.0667.png 1 2.43 2.43
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 1.1333.png 1 2.46 2.46
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 1.2000.png 1 2.48 2.48
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 1.2667.png 1 2.50 2.50
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 1.3333.png 1 2.52 2.52
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 1.4000.png 1 2.52 2.52
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 1.4667.png 1 2.51 2.51
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 1.5333.png 1 2.51 2.51
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 1.6000.png 1 2.51 2.51
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_near2 1.6667.png 1 2.51 2.51
