# <seq_name> <frame.png> <n_obj> <zmin> <zmax>
# {"root": "D:/data_collect", "max_dist": 8.0, "mode": "all", "metric": "z", "min_z": 0.5, "max_objects": 0, "train_ratio": 0.8, "seed": 0}
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.0000.png 1 2.37 2.37
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.0667.png 1 2.40 2.40
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.1333.png 1 2.45 2.45
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.2000.png 1 2.51 2.51
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.2667.png 1 2.56 2.56
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.3333.png 1 2.61 2.61
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.4000.png 1 2.66 2.66
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.4667.png 1 2.72 2.72
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.5333.png 1 2.77 2.77
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.6000.png 1 2.82 2.82
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.6667.png 1 2.88 2.88
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.7333.png 1 2.93 2.93
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.8000.png 1 2.98 2.98
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.8667.png 1 3.03 3.03
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 0.9333.png 1 3.09 3.09
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.0000.png 1 3.14 3.14
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.0667.png 1 3.19 3.19
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.1333.png 1 3.25 3.25
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.2000.png 1 3.30 3.30
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.2667.png 1 3.33 3.33
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.3333.png 1 3.36 3.36
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.4000.png 1 3.38 3.38
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.4667.png 1 3.41 3.41
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.5333.png 1 3.43 3.43
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.6000.png 1 3.46 3.46
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.6667.png 1 3.48 3.48
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.7333.png 1 3.51 3.51
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.8000.png 1 3.53 3.53
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.8667.png 1 3.56 3.56
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 1.9333.png 1 3.58 3.58
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.0000.png 1 3.61 3.61
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.0667.png 1 3.63 3.63
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.1333.png 1 3.66 3.66
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.2000.png 1 3.68 3.68
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.2667.png 1 3.71 3.71
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.3333.png 1 3.73 3.73
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.4000.png 1 3.76 3.76
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.4667.png 1 3.78 3.78
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.5333.png 1 3.81 3.81
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.6000.png 1 3.83 3.83
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.6667.png 1 3.86 3.86
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.7333.png 1 3.88 3.88
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.8000.png 1 3.91 3.91
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.8667.png 1 3.93 3.93
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 2.9333.png 1 3.95 3.95
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.0000.png 1 3.97 3.97
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.0667.png 1 4.00 4.00
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.1333.png 1 4.02 4.02
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.2000.png 1 4.04 4.04
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.2667.png 1 4.07 4.07
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.3333.png 1 4.09 4.09
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.4000.png 1 4.11 4.11
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.4667.png 1 4.14 4.14
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.5333.png 1 4.16 4.16
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.6000.png 1 4.19 4.19
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.6667.png 1 4.21 4.21
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.7333.png 1 4.23 4.23
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.8000.png 1 4.26 4.26
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.8667.png 1 4.28 4.28
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 3.9333.png 1 4.31 4.31
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 4.0000.png 1 4.33 4.33
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 4.0667.png 1 4.36 4.36
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 4.1333.png 1 4.38 4.38
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 4.2000.png 1 4.40 4.40
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 4.2667.png 1 4.43 4.43
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 4.3333.png 1 4.45 4.45
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 4.4000.png 1 4.48 4.48
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 4.4667.png 1 4.50 4.50
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 4.5333.png 1 4.52 4.52
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 4.6000.png 1 4.55 4.55
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 4.6667.png 1 4.57 4.57
Demonstration_Capture/carla_data/00001/clear_day/DJI-avata2_up 4.7333.png 1 4.60 4.60
