# <seq_name> <frame.png> <n_obj> <n_qualified> <rmin> <rmax> <lidar_noise_std_m>
# {"root": "E:/data_collect", "max_range": 20.0, "min_inside": 8, "min_z": 0.5, "lidar_offset": 6, "mode": "any", "modalities": ["rgb", "ir", "lidar"], "train_ratio": 0.8, "seed": 0}
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 17.8222.png 2 2 13.49 16.28 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 17.8889.png 2 2 13.41 16.65 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 17.9556.png 2 2 13.42 17.03 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 18.0223.png 2 2 13.52 17.43 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 18.0890.png 2 2 13.71 17.83 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 18.1557.png 2 2 13.98 18.25 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 18.2224.png 2 2 14.33 18.67 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 18.2891.png 2 2 14.76 19.08 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 18.3558.png 2 2 15.25 19.45 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 18.4225.png 2 2 15.81 19.79 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 18.4892.png 2 1 16.40 16.40 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 18.5559.png 2 1 17.01 17.01 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 18.6226.png 2 1 17.63 17.63 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 18.6893.png 2 1 18.24 18.24 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 18.7560.png 2 1 18.81 18.81 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 18.8227.png 2 1 19.33 19.33 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 18.8894.png 2 1 19.78 19.78 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 19.4230.png 2 1 19.76 19.76 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 19.4897.png 2 1 19.37 19.37 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 19.5564.png 2 1 18.96 18.96 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 19.6231.png 2 1 18.53 18.53 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 19.6898.png 2 1 18.13 18.13 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 19.7565.png 2 2 17.78 19.82 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 19.8232.png 2 2 17.52 19.62 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 19.8899.png 2 2 17.39 19.42 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 19.9566.png 2 2 17.39 19.22 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.0233.png 2 2 17.52 19.01 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.0900.png 2 2 17.75 18.80 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.1567.png 2 2 18.04 18.59 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.2234.png 2 2 18.36 18.38 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.2901.png 2 2 18.20 18.66 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.3568.png 2 2 18.05 18.93 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.4235.png 2 2 17.92 19.12 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.4902.png 2 2 17.83 19.24 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.5569.png 2 2 17.77 19.31 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.6236.png 2 2 17.74 19.33 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.6903.png 2 2 17.74 19.32 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.7570.png 2 2 17.76 19.28 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.8237.png 2 2 17.82 19.20 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.8904.png 2 2 17.91 19.11 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 20.9571.png 2 2 18.02 19.00 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 21.0238.png 2 2 18.16 18.89 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 21.0905.png 2 2 18.31 18.79 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 21.1572.png 2 2 18.48 18.70 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 21.2239.png 2 2 18.64 18.66 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 21.2906.png 2 2 18.61 18.85 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 21.3573.png 2 2 18.64 19.03 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 21.4240.png 2 2 18.72 19.22 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 21.4907.png 2 2 18.87 19.40 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 21.5574.png 2 2 19.08 19.57 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 21.6241.png 2 2 19.38 19.72 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 21.6908.png 2 2 19.75 19.85 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 21.7575.png 2 1 19.96 19.96 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 22.2911.png 2 1 19.98 19.98 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 22.3578.png 2 1 19.88 19.88 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 22.4245.png 2 1 19.76 19.76 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 22.4912.png 2 1 19.63 19.63 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 22.5579.png 2 1 19.50 19.50 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 22.6246.png 2 1 19.36 19.36 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 22.6913.png 2 1 19.23 19.23 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 22.7580.png 2 1 19.11 19.11 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 22.8247.png 2 1 19.01 19.01 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 22.8914.png 2 1 18.92 18.92 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 22.9581.png 2 1 18.86 18.86 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 23.0248.png 2 1 18.81 18.81 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 23.0915.png 2 1 18.78 18.78 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 23.1582.png 2 1 18.77 18.77 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 23.2249.png 2 1 18.79 18.79 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 23.2916.png 2 1 18.82 18.82 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 23.3583.png 2 1 18.88 18.88 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 23.4250.png 2 1 18.95 18.95 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 23.4917.png 2 1 19.06 19.06 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 23.5584.png 2 1 19.18 19.18 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 23.6251.png 2 1 19.33 19.33 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 23.6918.png 2 1 19.51 19.51 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 23.7585.png 2 1 19.71 19.71 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 23.8252.png 2 1 19.94 19.94 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 37.1652.png 2 1 19.08 19.08 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 37.2319.png 2 1 17.85 17.85 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-avata2 37.2986.png 2 1 16.57 16.57 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-phantom4 60.8734.png 2 1 19.94 19.94 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-phantom4 60.9401.png 2 1 19.01 19.01 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-phantom4 61.0068.png 2 1 18.05 18.05 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-phantom4 61.0735.png 2 1 17.07 17.07 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-phantom4 61.1402.png 2 1 16.07 16.07 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-phantom4 61.2069.png 2 1 15.05 15.05 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-phantom4 61.2736.png 2 1 14.01 14.01 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-phantom4 61.3403.png 2 1 12.96 12.96 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-phantom4 61.4070.png 2 1 11.88 11.88 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-phantom4 61.4737.png 2 1 10.80 10.80 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-phantom4 61.5404.png 2 1 9.70 9.70 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-phantom4 61.6071.png 2 1 8.58 8.58 0.0
No-MotionBlur/carla_data/00002/clear_day/DJI-mavic-mini=DJI-phantom4 61.6738.png 2 1 7.46 7.46 0.0
