# <seq_name> <frame.png> <n_obj> <zmin> <zmax>
# {"root": "E:/data_collect", "max_dist": 15.0, "mode": "all", "metric": "z", "min_z": 0.5, "max_objects": 0, "train_ratio": 0.8, "seed": 0}
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.1775.png 2 14.29 14.87
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.2442.png 2 14.19 14.68
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.3109.png 2 14.19 14.41
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.3776.png 2 14.07 14.29
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.4443.png 2 13.66 14.46
No-MotionBlur/carla_data/00002/clear_day/Matrice-600-Pro=m210-rtk 62.5110.png 2 13.19 14.71
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 70.7288.png 2 1.92 14.77
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 70.7955.png 2 2.55 14.02
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 70.8622.png 2 3.22 13.28
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 70.9289.png 2 3.92 12.53
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 70.9956.png 2 4.63 11.77
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.0623.png 2 5.32 11.01
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.1290.png 2 5.93 10.25
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.1957.png 2 6.39 9.49
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.2624.png 2 6.69 8.72
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.3291.png 2 6.86 7.96
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.3958.png 2 6.91 7.20
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.4625.png 2 6.43 6.87
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.5292.png 2 5.68 6.73
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.5959.png 2 4.94 6.53
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.6626.png 2 4.26 6.27
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.7293.png 2 3.66 5.96
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.7960.png 2 3.13 5.61
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.8627.png 2 2.67 5.25
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.9294.png 2 2.28 4.88
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 71.9961.png 2 1.96 4.55
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.0628.png 2 1.70 4.32
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.1295.png 2 1.51 4.16
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.1962.png 2 1.37 4.10
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.2629.png 2 1.30 4.11
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.3296.png 2 1.27 4.20
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.3963.png 2 1.30 4.36
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.4630.png 2 1.38 4.58
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.5297.png 2 1.50 4.87
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.5964.png 2 1.67 5.20
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.6631.png 2 1.87 5.58
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.7298.png 2 2.12 5.99
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.7965.png 2 2.40 6.42
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.8632.png 2 2.71 6.82
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.9299.png 2 3.06 7.16
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 72.9966.png 2 3.44 7.40
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.0633.png 2 3.84 7.56
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.1300.png 2 4.27 7.63
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.1967.png 2 4.72 7.62
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.2634.png 2 5.19 7.55
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.3301.png 2 5.68 7.40
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.3968.png 2 6.16 7.21
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.4635.png 2 6.63 6.98
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.5302.png 2 6.71 7.08
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.5969.png 2 6.43 7.51
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.6636.png 2 6.28 7.91
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.7303.png 2 6.26 8.30
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.7970.png 2 6.37 8.66
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.8637.png 2 6.60 9.00
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.9304.png 2 6.93 9.31
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 73.9971.png 2 7.35 9.60
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.0638.png 2 7.81 9.87
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.1305.png 2 8.28 10.11
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.1972.png 2 8.73 10.33
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.2639.png 2 9.11 10.52
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.3306.png 2 9.39 10.68
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.3973.png 2 9.54 10.82
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.4640.png 2 9.57 10.93
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.5307.png 2 9.46 11.02
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.5974.png 2 9.24 11.08
