# <seq_name> <frame.png> <n_obj> <zmin> <zmax>
# {"root": "D:/data_collect", "max_dist": 8.0, "mode": "all", "metric": "z", "min_z": 0.5, "max_objects": 0, "train_ratio": 0.8, "seed": 0}
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.0000.png 1 4.38 4.38
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.0667.png 1 4.40 4.40
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.1333.png 1 4.41 4.41
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.2000.png 1 4.43 4.43
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.2667.png 1 4.44 4.44
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.3333.png 1 4.45 4.45
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.4000.png 1 4.47 4.47
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.4667.png 1 4.48 4.48
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.5333.png 1 4.50 4.50
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.6000.png 1 4.51 4.51
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.6667.png 1 4.53 4.53
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.7333.png 1 4.54 4.54
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.8000.png 1 4.56 4.56
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.8667.png 1 4.57 4.57
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 0.9333.png 1 4.58 4.58
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.0000.png 1 4.60 4.60
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.0667.png 1 4.61 4.61
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.1333.png 1 4.63 4.63
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.2000.png 1 4.64 4.64
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.2667.png 1 4.66 4.66
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.3333.png 1 4.67 4.67
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.4000.png 1 4.69 4.69
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.4667.png 1 4.70 4.70
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.5333.png 1 4.71 4.71
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.6000.png 1 4.73 4.73
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.6667.png 1 4.74 4.74
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.7333.png 1 4.76 4.76
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.8000.png 1 4.77 4.77
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.8667.png 1 4.79 4.79
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 1.9333.png 1 4.80 4.80
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 2.0000.png 1 4.82 4.82
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 2.0667.png 1 4.83 4.83
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 2.1333.png 1 4.84 4.84
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 2.2000.png 1 4.86 4.86
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 2.2667.png 1 4.87 4.87
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 2.3333.png 1 4.89 4.89
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 2.4000.png 1 4.90 4.90
PowerPlant_Capture/carla_data/00001/clear_day/DJI-avata2 2.4667.png 1 4.92 4.92
